Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassDerived,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeExe,CountStmt,MaxCyclomatic,Cyclomatic,RatioCommentToCode,SumCyclomatic,CountLineComment
Public Class,org.apache.hadoop.streaming.TestMultipleArchiveFiles,14,1,14,0,1,0,,,120,10,88,71,79,2,,0.25,6,22
Public Class,org.apache.hadoop.streaming.TestMultipleCachefiles,29,2,27,1,2,0,,,127,9,95,77,61,4,,0.24,6,23
Public Class,org.apache.hadoop.streaming.TestRawBytesStreaming,13,1,12,1,1,0,,,82,7,56,43,36,2,,0.34,5,19
Public Class,org.apache.hadoop.streaming.TestStreamAggregate,11,0,10,0,1,0,,,93,9,58,38,35,2,,0.45,6,26
Public Class,org.apache.hadoop.streaming.TestStreamDataProtocol,12,0,11,0,1,0,,,103,10,67,46,37,2,,0.39,6,26
Public Class,org.apache.hadoop.streaming.TestStreamJob,19,2,17,0,1,0,,,61,5,36,26,35,1,,0.56,2,20
Public Class,org.apache.hadoop.streaming.TestStreamReduceNone,11,0,10,0,1,0,,,96,9,61,40,36,2,,0.43,6,26
Public Class,org.apache.hadoop.streaming.TestStreamXmlMultipleRecords,13,1,9,3,1,0,,,170,19,90,47,51,2,,0.68,13,61
Public Class,org.apache.hadoop.streaming.TestStreamXmlRecordReader,8,0,8,0,1,0,,,52,3,27,16,19,1,,0.81,3,22
Public Class,org.apache.hadoop.streaming.TestStreaming,7,0,6,1,1,9,,,141,17,92,51,74,1,,0.35,13,32
Public Class,org.apache.hadoop.streaming.TestStreamingAsDifferentUser,63,7,48,8,2,0,,,159,17,106,85,65,2,,0.34,4,36
Public Class,org.apache.hadoop.streaming.TestStreamingBackground,7,1,7,0,1,0,,,74,10,43,30,26,1,,0.49,4,21
Public Class,org.apache.hadoop.streaming.TestStreamingBadRecords,27,1,24,1,2,0,,,271,30,216,160,129,6,,0.12,13,25
Public Class,org.apache.hadoop.streaming.TestStreamingCombiner,6,0,6,0,1,0,,,44,4,22,13,14,1,,0.82,3,18
Public Class,org.apache.hadoop.streaming.TestStreamingCounters,6,0,6,0,1,0,,,41,2,19,10,14,1,,1.05,3,20
Public Class,org.apache.hadoop.streaming.TestStreamingExitStatus,7,0,7,0,1,0,,,96,13,61,35,34,3,,0.38,11,23
Public Class,org.apache.hadoop.streaming.TestStreamingFailure,5,0,5,0,1,0,,,46,4,19,5,10,1,,1.21,3,23
Public Class,org.apache.hadoop.streaming.TestStreamingKeyValue,10,0,9,1,1,0,,,128,10,84,52,41,2,,0.40,8,34
Public Class,org.apache.hadoop.streaming.TestStreamingOutputKeyValueTypes,7,0,7,0,1,0,,,170,19,111,54,70,1,,0.36,15,40
Public Class,org.apache.hadoop.streaming.TestStreamingSeparator,12,0,11,0,1,0,,,109,10,67,46,36,2,,0.48,6,32
Public Class,org.apache.hadoop.streaming.TestStreamingStatus,13,1,9,3,2,0,,,297,34,170,117,110,4,,0.58,26,99
Public Class,org.apache.hadoop.streaming.TestStreamingStderr,7,0,7,0,1,0,,,98,9,60,35,33,2,,0.48,9,29
Public Class,org.apache.hadoop.streaming.TestStreamingTaskLog,18,1,14,2,2,0,,,125,11,81,65,52,4,,0.42,8,34
Public Class,org.apache.hadoop.streaming.TestSymLink,38,3,34,1,3,0,,,111,8,80,65,49,4,,0.29,5,23
Public Class,org.apache.hadoop.streaming.TestTypedBytesStreaming,9,0,8,0,1,0,,,75,6,50,35,33,1,,0.38,5,19
Public Class,org.apache.hadoop.streaming.TestUlimit,15,0,13,3,2,0,,,117,7,73,55,43,5,,0.53,9,39
Public Class,org.apache.hadoop.streaming.TrApp,10,1,9,1,2,1,,,107,13,66,34,45,2,,0.42,11,28
Public Class,org.apache.hadoop.streaming.TrAppReduce,10,1,8,1,2,0,,,105,12,64,32,43,2,,0.45,11,29
Public Class,org.apache.hadoop.streaming.TypedBytesMapApp,8,1,7,1,2,0,,,49,7,25,14,20,3,,0.76,5,19
Public Class,org.apache.hadoop.streaming.TypedBytesReduceApp,13,1,12,1,2,0,,,48,5,26,18,21,3,,0.73,4,19
Public Class,org.apache.hadoop.streaming.UlimitApp,15,1,14,0,3,0,,,40,1,16,11,11,3,,1.44,3,23
Public Class,org.apache.hadoop.streaming.UniqApp,7,0,7,0,2,0,,,51,3,26,10,16,3,,0.85,6,22
Public Class,org.apache.hadoop.streaming.ValueCountReduce,6,1,4,2,1,0,,,47,8,16,5,10,2,,1.44,5,23
Public Class,org.apache.hadoop.streaming.io.IdentifierResolver,8,0,5,3,1,0,,,118,13,53,30,39,3,,1.00,11,53
Public Class,org.apache.hadoop.streaming.io.RawBytesInputWriter,8,0,8,0,1,0,,,61,6,35,18,25,2,,0.57,5,20
